ausente2_ausente,ausente2_matthei,ausente2_parisi,ausente2_kaiser,ausente2_kast,ausente2_jara,ausente2_otros,ausente2_nulosblancos,nulosblancos2_ausente,nulosblancos2_matthei,nulosblancos2_parisi,nulosblancos2_kaiser,nulosblancos2_kast,nulosblancos2_jara,nulosblancos2_otros,nulosblancos2_nulosblancos,kast2_ausente,kast2_matthei,kast2_parisi,kast2_kaiser,kast2_kast,kast2_jara,kast2_otros,kast2_nulosblancos,jara2_ausente,jara2_matthei,jara2_parisi,jara2_kaiser,jara2_kast,jara2_jara,jara2_otros,jara2_nulosblancos,comuna,n_original,n_consolidado
0.904,0.011,0.018,0.077,0.013,0.009,0.007,0.01,0.019,0.093,0.188,0.075,0.013,0.013,0.007,0.009,0.021,0.791,0.504,0.746,0.961,0.016,0.263,0.856,0.056,0.105,0.289,0.102,0.013,0.962,0.723,0.125,CHONCHI,37,37
0.775,0.006,0.294,0.022,0.015,0.027,0.422,0.015,0.01,0.02,0.349,0.007,0.005,0.017,0.006,0.007,0.173,0.868,0.051,0.959,0.967,0.099,0.29,0.016,0.042,0.106,0.306,0.012,0.013,0.857,0.281,0.962,CISNES,15,15
0.898,0.009,0.029,0.01,0.018,0.024,0.01,0.355,0.032,0.009,0.092,0.01,0.01,0.084,0.012,0.345,0.05,0.969,0.532,0.941,0.957,0.043,0.537,0.2,0.02,0.013,0.348,0.04,0.016,0.849,0.441,0.1,COCHAMO,14,14
0.789,0.224,0.274,0.008,0.009,0.062,0.017,0.009,0.046,0.129,0.012,0.015,0.008,0.019,0.015,0.331,0.141,0.295,0.013,0.967,0.971,0.02,0.955,0.657,0.024,0.352,0.7,0.01,0.012,0.899,0.013,0.004,COCHRANE,9,9
0.66,0.092,0.014,0.036,0.009,0.01,0.007,0.105,0.007,0.307,0.035,0.095,0.012,0.013,0.266,0.43,0.01,0.275,0.736,0.838,0.961,0.019,0.006,0.011,0.323,0.326,0.215,0.031,0.017,0.957,0.722,0.455,CODEGUA,32,32
0.732,0.104,0.011,0.007,0.011,0.01,0.087,0.006,0.007,0.081,0.126,0.008,0.011,0.011,0.008,0.624,0.015,0.797,0.335,0.97,0.957,0.025,0.724,0.362,0.246,0.018,0.528,0.014,0.021,0.955,0.181,0.008,COINCO,20,20
0.476,0.008,0.049,0.01,0.023,0.193,0.009,0.009,0.065,0.008,0.186,0.01,0.015,0.013,0.205,0.077,0.133,0.78,0.509,0.971,0.946,0.021,0.529,0.432,0.326,0.204,0.256,0.009,0.015,0.774,0.256,0.481,COLBUN,55,55
0.938,0.02,0.032,0.006,0.009,0.007,0.004,0.006,0.024,0.063,0.181,0.006,0.01,0.01,0.015,0.317,0.021,0.87,0.448,0.963,0.971,0.028,0.004,0.184,0.017,0.048,0.339,0.025,0.011,0.955,0.977,0.493,COLINA,285,100
0.911,0.039,0.013,0.01,0.013,0.008,0.007,0.026,0.033,0.073,0.122,0.009,0.014,0.022,0.007,0.389,0.037,0.878,0.584,0.972,0.958,0.025,0.584,0.39,0.018,0.01,0.281,0.01,0.015,0.944,0.402,0.195,COLLIPULLI,59,59
0.655,0.126,0.023,0.015,0.014,0.009,0.015,0.008,0.085,0.014,0.07,0.071,0.017,0.014,0.08,0.801,0.235,0.624,0.605,0.768,0.951,0.025,0.316,0.181,0.025,0.236,0.302,0.146,0.018,0.952,0.59,0.01,COLTAUCO,47,47
0.87,0.019,0.031,0.013,0.045,0.02,0.005,0.03,0.047,0.022,0.112,0.081,0.02,0.027,0.057,0.51,0.05,0.548,0.367,0.858,0.813,0.121,0.735,0.346,0.033,0.41,0.49,0.048,0.123,0.832,0.203,0.114,COMBARBALA,33,33
0.946,0.026,0.009,0.013,0.01,0.009,0.012,0.018,0.009,0.13,0.156,0.01,0.008,0.012,0.009,0.561,0.019,0.673,0.485,0.961,0.963,0.014,0.012,0.011,0.027,0.171,0.35,0.016,0.018,0.965,0.968,0.409,CONCEPCION,525,100
0.702,0.22,0.03,0.01,0.011,0.067,0.018,0.024,0.02,0.046,0.091,0.017,0.017,0.024,0.191,0.448,0.066,0.537,0.325,0.96,0.95,0.016,0.391,0.09,0.211,0.197,0.554,0.013,0.021,0.892,0.399,0.438,CONCHALI,287,100
0.654,0.014,0.015,0.231,0.011,0.011,0.007,0.007,0.012,0.057,0.125,0.077,0.011,0.011,0.067,0.588,0.317,0.818,0.343,0.671,0.964,0.019,0.006,0.093,0.016,0.111,0.516,0.021,0.014,0.959,0.92,0.312,CONCON,124,100
0.855,0.022,0.019,0.029,0.013,0.011,0.031,0.008,0.022,0.107,0.149,0.014,0.016,0.016,0.074,0.489,0.036,0.556,0.646,0.938,0.951,0.033,0.151,0.014,0.086,0.315,0.185,0.02,0.021,0.94,0.743,0.49,CONSTITUCION,108,100
0.73,0.009,0.106,0.014,0.019,0.012,0.392,0.227,0.015,0.007,0.146,0.008,0.019,0.011,0.341,0.109,0.224,0.726,0.54,0.97,0.93,0.011,0.17,0.442,0.031,0.259,0.207,0.009,0.032,0.967,0.097,0.222,CONTULMO,16,16
0.928,0.035,0.017,0.008,0.01,0.009,0.09,0.007,0.009,0.023,0.2,0.007,0.01,0.01,0.008,0.587,0.048,0.648,0.414,0.974,0.965,0.017,0.008,0.397,0.015,0.294,0.369,0.011,0.015,0.963,0.894,0.008,COPIAPO,335,100
0.918,0.04,0.019,0.015,0.01,0.011,0.01,0.01,0.013,0.075,0.205,0.086,0.009,0.006,0.011,0.352,0.019,0.759,0.382,0.884,0.967,0.014,0.011,0.228,0.05,0.125,0.394,0.015,0.014,0.97,0.969,0.41,COQUIMBO,497,100
0.882,0.069,0.018,0.008,0.008,0.008,0.008,0.007,0.011,0.036,0.181,0.008,0.012,0.012,0.313,0.395,0.09,0.533,0.491,0.784,0.962,0.021,0.656,0.592,0.017,0.361,0.309,0.199,0.018,0.959,0.023,0.006,CORONEL,248,100
0.922,0.052,0.015,0.015,0.008,0.043,0.004,0.009,0.015,0.081,0.165,0.006,0.005,0.038,0.005,0.344,0.036,0.702,0.366,0.956,0.976,0.021,0.004,0.394,0.028,0.166,0.455,0.024,0.011,0.899,0.988,0.253,COYHAIQUE,146,100
0.941,0.015,0.041,0.011,0.009,0.016,0.263,0.02,0.014,0.009,0.141,0.011,0.014,0.013,0.083,0.443,0.026,0.855,0.532,0.918,0.958,0.018,0.466,0.313,0.018,0.121,0.285,0.06,0.019,0.954,0.189,0.225,CUNCO,56,56
0.894,0.007,0.013,0.036,0.051,0.037,0.516,0.054,0.017,0.011,0.017,0.036,0.037,0.012,0.104,0.511,0.053,0.947,0.898,0.914,0.797,0.014,0.079,0.136,0.036,0.035,0.072,0.015,0.116,0.937,0.301,0.298,CURACAUTIN,56,56
0.811,0.003,0.017,0.014,0.02,0.014,0.783,0.002,0.042,0.01,0.021,0.19,0.096,0.006,0.169,0.008,0.021,0.755,0.947,0.59,0.871,0.019,0.019,0.438,0.126,0.232,0.015,0.205,0.013,0.961,0.029,0.551,CURACO DE VELEZ,10,10
0.876,0.016,0.017,0.03,0.018,0.015,0.007,0.037,0.026,0.139,0.103,0.063,0.016,0.015,0.349,0.509,0.042,0.363,0.631,0.88,0.952,0.019,0.636,0.264,0.056,0.481,0.249,0.027,0.014,0.951,0.008,0.19,CURANILAHUE,77,77
0.911,0.012,0.013,0.013,0.098,0.013,0.014,0.015,0.02,0.008,0.029,0.034,0.013,0.035,0.012,0.695,0.032,0.968,0.897,0.649,0.873,0.011,0.961,0.013,0.037,0.011,0.061,0.303,0.016,0.941,0.013,0.278,CURARREHUE,24,24
0.871,0.03,0.016,0.018,0.009,0.01,0.194,0.006,0.013,0.084,0.103,0.009,0.013,0.01,0.402,0.319,0.019,0.644,0.598,0.961,0.956,0.025,0.012,0.403,0.097,0.241,0.283,0.012,0.022,0.954,0.392,0.273,CUREPTO,26,26
0.838,0.034,0.011,0.045,0.007,0.008,0.011,0.017,0.009,0.093,0.171,0.008,0.006,0.011,0.01,0.55,0.028,0.737,0.518,0.929,0.968,0.016,0.012,0.088,0.125,0.135,0.3,0.018,0.019,0.964,0.967,0.346,CURICO,336,100
0.891,0.008,0.017,0.007,0.008,0.009,0.062,0.009,0.016,0.008,0.205,0.033,0.009,0.008,0.164,0.011,0.071,0.745,0.501,0.95,0.968,0.02,0.25,0.968,0.023,0.239,0.278,0.01,0.015,0.963,0.525,0.012,DALCAHUE,37,37
0.861,0.964,0.031,0.069,0.01,0.009,0.224,0.02,0.022,0.013,0.211,0.013,0.011,0.018,0.011,0.297,0.022,0.014,0.619,0.561,0.672,0.012,0.758,0.221,0.095,0.01,0.139,0.358,0.306,0.962,0.007,0.462,DIEGO DE ALMAGRO,29,29
0.811,0.025,0.015,0.01,0.009,0.01,0.039,0.099,0.015,0.015,0.128,0.011,0.014,0.015,0.416,0.632,0.022,0.786,0.483,0.963,0.956,0.023,0.238,0.087,0.153,0.174,0.374,0.015,0.02,0.953,0.307,0.182,DOÑIHUE,51,51
0.703,0.073,0.084,0.008,0.008,0.008,0.292,0.007,0.036,0.053,0.131,0.008,0.007,0.007,0.319,0.324,0.233,0.538,0.347,0.969,0.968,0.019,0.009,0.007,0.029,0.336,0.437,0.015,0.017,0.967,0.381,0.662,EL BOSQUE,337,100
0.841,0.013,0.039,0.013,0.014,0.032,0.163,0.012,0.007,0.036,0.138,0.01,0.01,0.009,0.008,0.926,0.025,0.807,0.29,0.963,0.961,0.031,0.007,0.013,0.128,0.143,0.534,0.015,0.015,0.927,0.822,0.049,EL QUISCO,46,46
0.592,0.036,0.102,0.071,0.008,0.046,0.013,0.009,0.058,0.028,0.2,0.011,0.01,0.016,0.011,0.463,0.015,0.675,0.454,0.909,0.937,0.044,0.011,0.147,0.335,0.26,0.245,0.009,0.044,0.893,0.965,0.381,EL TABO,42,42
0.786,0.008,0.008,0.071,0.012,0.008,0.003,0.014,0.005,0.009,0.122,0.008,0.016,0.05,0.228,0.013,0.199,0.964,0.814,0.906,0.916,0.006,0.764,0.016,0.011,0.02,0.057,0.016,0.056,0.937,0.005,0.958,EMPEDRADO,11,11
0.594,0.132,0.022,0.007,0.085,0.146,0.011,0.014,0.03,0.194,0.152,0.007,0.014,0.016,0.01,0.13,0.031,0.093,0.802,0.977,0.87,0.123,0.014,0.101,0.345,0.582,0.024,0.009,0.03,0.715,0.964,0.754,ERCILLA,22,22
0.948,0.05,0.02,0.015,0.023,0.016,0.017,0.013,0.012,0.08,0.092,0.008,0.013,0.014,0.222,0.391,0.016,0.82,0.382,0.928,0.82,0.015,0.01,0.334,0.024,0.05,0.506,0.049,0.144,0.956,0.752,0.263,ESTACION CENTRAL,335,100
0.875,0.006,0.01,0.017,0.009,0.009,0.009,0.044,0.016,0.094,0.114,0.011,0.016,0.016,0.006,0.375,0.03,0.89,0.667,0.867,0.958,0.019,0.53,0.182,0.079,0.01,0.21,0.105,0.017,0.956,0.455,0.399,FLORIDA,30,30
0.894,0.017,0.014,0.011,0.019,0.009,0.058,0.013,0.022,0.034,0.146,0.011,0.025,0.013,0.012,0.345,0.056,0.62,0.642,0.949,0.915,0.013,0.554,0.315,0.028,0.328,0.198,0.028,0.041,0.965,0.376,0.327,FREIRE,64,64
0.856,0.141,0.017,0.014,0.008,0.04,0.008,0.018,0.047,0.011,0.161,0.008,0.031,0.014,0.01,0.533,0.069,0.716,0.319,0.968,0.952,0.035,0.971,0.441,0.028,0.133,0.503,0.009,0.009,0.911,0.011,0.008,FREIRINA,18,18
0.866,0.007,0.023,0.034,0.022,0.013,0.007,0.011,0.021,0.009,0.181,0.026,0.016,0.014,0.007,0.379,0.052,0.908,0.511,0.906,0.936,0.028,0.837,0.289,0.061,0.076,0.285,0.033,0.026,0.945,0.15,0.321,FRESIA,33,33
0.871,0.033,0.015,0.01,0.011,0.008,0.31,0.005,0.022,0.171,0.124,0.01,0.012,0.01,0.332,0.502,0.04,0.527,0.627,0.967,0.962,0.032,0.156,0.009,0.067,0.269,0.234,0.013,0.014,0.95,0.202,0.483,FRUTILLAR,52,52
0.968,0.017,0.051,0.018,0.026,0.014,0.008,0.004,0.005,0.127,0.186,0.01,0.069,0.017,0.199,0.003,0.017,0.561,0.358,0.956,0.862,0.017,0.401,0.99,0.009,0.295,0.405,0.015,0.043,0.951,0.392,0.003,FUTALEUFU,11,11
0.856,0.057,0.032,0.034,0.012,0.014,0.012,0.091,0.018,0.015,0.102,0.088,0.013,0.037,0.173,0.223,0.111,0.781,0.565,0.863,0.955,0.034,0.01,0.171,0.015,0.147,0.301,0.014,0.02,0.915,0.805,0.515,GALVARINO,30,30
